,ds_1,sample_1,ds_2,sample_2,model,Data Dissimilarity Score,Domain Dissimilarity Score,Data Dissimilarity Score_std,Domain Dissimilarity Score_std
1148,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,5,04-real,0.6506775735977608,0.8486973522417273,0.3753407865178692,0.3743975052714152
1149,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,6,04-real,0.6372718346342411,0.8457717158682547,0.3909863307745487,0.3731059394614056
1150,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,7,04-real,0.649267031085062,0.8427940256225689,0.3769796840855557,0.3719678916514903
1151,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,8,04-real,0.6447633617265613,0.844554057637332,0.3819808616262516,0.3726215252426563
1152,NF-CSE-CIC-IDS2018,21,NF-UNSW-NB15,9,04-real,0.6359632388567076,0.8361387203491101,0.3924934171726743,0.369960074502093
1153,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,23,04-real,0.33907314168545616,0.282466473808094,0.3123570260969659,0.26057825388318806
1154,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,24,04-real,0.3372291330727334,0.28176015422303785,0.3171750315452234,0.2573590416055258
1155,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,25,04-real,0.3433516879731935,0.28415923479569305,0.3146005569264307,0.2594685872789005
1156,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,26,04-real,0.33503412338101224,0.2785471592250442,0.31196711415268713,0.25310404413031123
1157,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,27,04-real,0.33697660983549704,0.2816739166605284,0.31775840370520114,0.2587543002680374
1158,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,28,04-real,0.3374561015299741,0.2833175466913243,0.31921596749403397,0.25566662376429844
1159,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,29,04-real,0.33921255346422696,0.2838164027378774,0.3130939707859303,0.2541982293275297
1160,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,3,04-real,0.33912577381981324,0.27972982024320847,0.31704693564631575,0.2574002909399608
1161,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,4,04-real,0.34006002254751944,0.28167410356278005,0.3119315980253275,0.25862303902056016
1162,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,5,04-real,0.3454714896751499,0.28369159159175616,0.3053573099346138,0.25965796121208695
1163,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,6,04-real,0.3385962127775768,0.2832404765094519,0.316295831904136,0.25781976747734975
1164,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,7,04-real,0.339464606356114,0.28314402212750495,0.31397404256697026,0.25752954715815934
1165,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,8,04-real,0.3430169392931002,0.2792825375201276,0.3079769860400166,0.2562031593409708
1166,NF-CSE-CIC-IDS2018,22,NF-CSE-CIC-IDS2018,9,04-real,0.3364682743846991,0.2845713829910488,0.315545694483604,0.255423961410406
1167,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,0,04-real,0.6153025537171177,0.6055302864803822,0.421904713359944,0.41286601867655043
1168,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,1,04-real,0.620983197850713,0.6026330529236246,0.41428921194593016,0.4110358609819163
1169,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,10,04-real,0.6130217914071068,0.5940824553338476,0.42640027645321105,0.4110752602892034
1170,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,11,04-real,0.616393114613922,0.599035883081525,0.4188920337420685,0.4133910480611183
1171,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,12,04-real,0.6107288812804479,0.6042198252478707,0.42572795716523676,0.4116228900961986
1172,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,13,04-real,0.5963942754962381,0.5871572559892926,0.4449671375851598,0.40527948294695226
1173,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,14,04-real,0.6339956855238834,0.6030256553501118,0.3996578619563605,0.40982494403029707
1174,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,15,04-real,0.6034830830923343,0.6086575278400084,0.43630219245579904,0.41096059556571574
1175,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,16,04-real,0.6223737730750107,0.5999725720447655,0.4138564443988254,0.4096299407562398
1176,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,17,04-real,0.6060556642183865,0.603148090171579,0.4311330518197068,0.4131997262813139
1177,NF-CSE-CIC-IDS2018,22,NF-ToN-IoT,18,04-real,0.5983977217141427,0.6075795553840474,0.4424257204102969,0.4117807635052528
