ds_1,sample_1,ds_2,sample_2,JS,WD,pearson,corr_ratio,theils_u,if_disc_tr-ds1_tst-ds2_fpr,if_disc_tr-ds2_tst-ds1_fpr,ocsvm_disc_tr-ds1_tst-ds2_fpr,ocsvm_disc_tr-ds2_tst-ds1_fpr,if_task_tr-ds1_tst-ds2_f1-macro,if_task_tr-ds2_tst-ds1_f1-macro,if_task_tr-ds1_tst-ds2_f1-micro,if_task_tr-ds2_tst-ds1_f1-micro,if_task_tr-ds1_tst-ds2_f1-weighted,if_task_tr-ds2_tst-ds1_f1-weighted,ocsvm_task_tr-ds1_tst-ds2_f1-macro,ocsvm_task_tr-ds2_tst-ds1_f1-macro,ocsvm_task_tr-ds1_tst-ds2_f1-micro,ocsvm_task_tr-ds2_tst-ds1_f1-micro,ocsvm_task_tr-ds1_tst-ds2_f1-weighted,ocsvm_task_tr-ds2_tst-ds1_f1-weighted,xgb_task_tr-ds1_tst-ds2_f1-macro,xgb_task_tr-ds2_tst-ds1_f1-macro,xgb_task_tr-ds1_tst-ds2_f1-micro,xgb_task_tr-ds2_tst-ds1_f1-micro,xgb_task_tr-ds1_tst-ds2_f1-weighted,xgb_task_tr-ds2_tst-ds1_f1-weighted,model,error_flows,Data Dissimilarity Score,Domain Dissimilarity Score,Data Dissimilarity Score_std,Domain Dissimilarity Score_std
NF-ToN-IoT,step-1000,NF-ToN-IoT,0,0.2056941460272437,0.018399822526179,0.2382900145206021,0.2367601996062731,0.0883486222178036,0.41090000000000004,0.4229433470805296,0.6314,0.5689168656392447,0.4704541493034029,0.4375877433925411,0.8114,0.7780551334925113,0.2687375715869619,0.3190652198000592,0.4626069263097839,0.4375877433925411,0.8099,0.7780551334925113,0.2722251564977113,0.3190652198000592,0.317651632970451,0.031352057478772,0.4521556256572029,0.0292986632484892,0.36469673405909797,0.937295885042456,04-gpt2,0.0786,0.35040664938646204,0.36566939811233506,0.1892567301199919,0.26821574963848677
NF-ToN-IoT,step-1500,NF-ToN-IoT,0,0.2033866148887623,0.0161867694470842,0.2798740670159661,0.2361708414946029,0.0783901492243779,0.39,0.4944182052382997,0.6077,0.6122799484757406,0.5121448617081371,0.4418626454480545,0.8186999999999999,0.7824173465006441,0.25048470321737637,0.31244377470776585,0.4740776984005496,0.4387613711669377,0.8121,0.7817732932589094,0.2671246357372292,0.31397615581605676,0.3935348383709592,0.0309079201545396,0.5807737008135482,0.0289174046629315,0.2129303232580816,0.9381841596909208,04-gpt2,0.0684,0.3627774782922187,0.337649107489633,0.19621150661601436,0.27762662512693814
NF-ToN-IoT,step-2000,NF-ToN-IoT,0,0.2015775772808649,0.0170254069638478,0.2129577190243927,0.2234230352839698,0.0834045159883451,0.395,0.4491606971025339,0.6182000000000001,0.5846252539292206,0.4873273150042196,0.4417865894948365,0.8147,0.7866994547204105,0.2612131004000977,0.30689428387113193,0.4735179088299275,0.4402082834570265,0.8119000000000001,0.786378702020742,0.26740896211906784,0.3076591628725692,0.0514629351220076,0.0275932549821154,0.0492556311915435,0.0258558774239885,0.8970741297559848,0.9448134900357691,04-gpt2,0.0647,0.34604359982616595,0.43568044700780295,0.19516203935831458,0.341920202852227
NF-ToN-IoT,step-2500,NF-ToN-IoT,0,0.1896977974402748,0.0078500443427734,0.1572761006138196,0.1867459378595904,0.0794065499366462,0.41100000000000003,0.4045809584124974,0.6441,0.5316656111462952,0.4714919266744982,0.4452869899450852,0.8115999999999999,0.8010344099641123,0.26827579283785163,0.2873514983970141,0.4745492665991327,0.4447309811276521,0.8121,0.800928857926958,0.26694962278146317,0.28760424640138815,0.3849200528091536,0.02061337355455,0.5808843876252145,0.0192240065642949,0.23015989438169282,0.9587732528909,04-gpt2,0.0526,0.32555911942614046,0.33595918681290143,0.20146975445149706,0.2867715552252788
NF-ToN-IoT,step-3000,NF-ToN-IoT,0,0.1922232095467915,0.0062909868639087,0.177185192665091,0.1336645542235614,0.080480958871351,0.41900000000000004,0.39059218815623686,0.6535,0.522889542209156,0.4641854557461226,0.4487045300163198,0.8102000000000001,0.8085888282234355,0.2715241917613064,0.2766703109099722,0.470411984955659,0.4469864127279062,0.8113,0.8082738345233096,0.26879147555260907,0.2774251564091933,0.1936577582768249,0.0158808933002481,0.2149537882561293,0.0148647079317152,0.6126844834463502,0.9682382133995038,04-gpt2,0.0476,0.3211919557090235,0.3889905473541336,0.2056253715889826,0.30425405366129216
NF-ToN-IoT,step-3500,NF-ToN-IoT,0,0.1831146116494079,0.0106987672528083,0.122213704678796,0.1830021788478949,0.0774744725883959,0.41290000000000004,0.38707633829585053,0.6432,0.5258156477668673,0.4704541493034029,0.44193035177656,0.8114,0.7918910357934749,0.2687375715869619,0.30007863196617046,0.4667657682767863,0.44193035177656,0.8106,0.7918910357934749,0.2704129970635517,0.30007863196617046,0.3885004462957452,0.0197094125078964,0.5781172173335547,0.0183843026339048,0.22299910740850948,0.9605811749842073,04-gpt2,0.0529,0.3168496192284016,0.33939830213936734,0.20539600407863898,0.287037220368765
NF-ToN-IoT,step-4000,NF-ToN-IoT,0,0.1828790883505287,0.0067610842392061,0.115353809070516,0.1532159734731949,0.0744650215164736,0.39270000000000005,0.39831312598840274,0.6443,0.5246178176067475,0.5381466346271795,0.4472373772461552,0.8221,0.8006325777543488,0.23957230981123756,0.28748323503059225,0.4708884775072505,0.444476982546562,0.8113,0.800105429625725,0.2686145863176471,0.2887431058416744,0.1869036858491513,0.0248191568969817,0.2059881565111516,0.023310296357034,0.6261926283016973,0.9503616862060364,04-gpt2,0.0515,0.310730604500733,0.38749536450126926,0.20926959661702882,0.3006814673880015
NF-ToN-IoT,step-4500,NF-ToN-IoT,0,0.1891689725996929,0.0117295837493783,0.1662082769412515,0.1672457187703802,0.0756063206639707,0.45589999999999997,0.37443922796035467,0.655,0.5124673969744392,0.499052093417028,0.445024053787747,0.8167,0.800208659363589,0.2561001292871937,0.28849485128817653,0.4657594218541497,0.4444766430972528,0.8105,0.8001043296817945,0.2708249589924544,0.2887446268309166,0.3982590581057957,0.0187135952410459,0.5925065028501854,0.017503187666628,0.2034818837884086,0.9625728095179081,04-gpt2,0.0415,0.3245044892387612,0.330245608529294,0.20506779638451184,0.29205438430789643
NF-ToN-IoT,step-5000,NF-ToN-IoT,0,0.1848146893926142,0.0079101547423998,0.1112296250809154,0.1403888424866787,0.0756032002484124,0.43789999999999996,0.3816283924843423,0.6504,0.5146137787056368,0.4921586627461632,0.4497708457979923,0.8079,0.8037578288100209,0.26205562665598636,0.282850126429778,0.4730014911649624,0.4453450671607226,0.8117999999999999,0.8029227557411274,0.26763891202417955,0.2848446228391903,0.2160007683442182,0.0142678347934918,0.248934639437711,0.0132005558128763,0.5679984633115636,0.9714643304130163,04-gpt2,0.042,0.312072316049825,0.3826931545248163,0.21316809849765547,0.3012184251284864
NF-ToN-IoT,step-5500,NF-ToN-IoT,0,0.1840760026341056,0.0120401366043201,0.1478374163063276,0.1615737176341548,0.0744886157924411,0.43400000000000005,0.3845270411359365,0.6493,0.5178534140739194,0.5037133082984269,0.442098225887067,0.8173,0.7848193777406557,0.25414364054240146,0.3092725756322291,0.4734742952501002,0.4395552954944411,0.8117999999999999,0.7842973480893715,0.26746343232538816,0.3105158948101395,0.2191820276497696,0.0190849342770475,0.2526979910343682,0.0176711527208894,0.5616359447004609,0.961830131445905,04-gpt2,0.0422,0.31920702594711065,0.38672308849378917,0.20640777499179863,0.2954220344255987
NF-ToN-IoT,step-6000,NF-ToN-IoT,0,0.1851112816633057,0.0071421027315817,0.155056266671961,0.1629460803512392,0.0747209979200754,0.48109999999999997,0.347209278243761,0.6754,0.47965206585896236,0.4970287479540454,0.4529947201880949,0.8162,0.8187843015429223,0.2570419092066287,0.2622758184230075,0.4694143807363247,0.4500256278831369,0.8112,0.8182665424044734,0.26920010580236964,0.26351817095732677,0.1916137985725614,0.0203982515784361,0.2139576069511317,0.0191354860755168,0.6167724028548771,0.9592034968431278,04-gpt2,0.0343,0.3201494963386631,0.38033027201247677,0.21000695301394495,0.3071014750921428
NF-ToN-IoT,step-6500,NF-ToN-IoT,0,0.1920487343934787,0.0157930286113153,0.1680715937826217,0.2669262817992199,0.0706833847727787,0.4505,0.3383598430076431,0.6704,0.48182193761619496,0.4868237144795651,0.4563997556021599,0.8146,0.8314397851683536,0.2614381923617226,0.24466881073465907,0.4714492740334749,0.4538583032490975,0.8115,0.8310266473869037,0.26832988617316633,0.24566331172438782,0.0508018260564204,0.0150483697599426,0.0480380762632132,0.0142148014440433,0.898396347887159,0.9699032604801147,04-gpt2,0.0318,0.3298514719214921,0.4171714013373157,0.19639129400075714,0.3631298830637922
NF-ToN-IoT,step-7000,NF-ToN-IoT,0,0.1930492024248478,0.0126425614589965,0.1511151111722658,0.1393752556077798,0.0721110499004444,0.4333,0.4153989444271965,0.6219,0.5524164338197247,0.4748869276979009,0.4422731462766472,0.8117999999999999,0.7825726999896513,0.2669392348750974,0.31215032098955153,0.4745492665991327,0.4387849924497619,0.8121,0.7818482872813826,0.26694962278146317,0.31387341033675864,0.3315401804187702,0.0302424393901524,0.4434113675355581,0.0281101173190846,0.3369196391624596,0.939515121219695,04-gpt2,0.0337,0.3223332496690324,0.3528639070521465,0.2090003914633025,0.27815512302258444
